Marca,Modelo,Año de Fabricacion,Cantidad de Puertas,Cilindrada,Tipo de Combustible,Pais de Fabricacion,Precio en dolares,Color
Chevrolet,Malibu,2007,2,3.0,Gasoline,South Korea,34808,Silver
Kia,Rio,2017,2,4.0,Gasoline,Brazil,12699,Black
BMW,5 Series,2019,4,1.8,Gasoline,Japan,40730,Red
Hyundai,Sonata,2014,2,1.4,Hybrid,India,75724,White
Volkswagen,Jetta,2014,2,2.2,Gasoline,Japan,72201,Gray
Nissan,Altima,2019,4,1.6,Diesel,South Korea,68016,Orange
Honda,Accord,2017,2,1.2,Electric,South Korea,17142,Blue
Toyota,Camry,2003,2,3.0,Hybrid,USA,24293,Green
Nissan,Sentra,2014,2,2.0,Diesel,Japan,44573,Silver
Toyota,Prius,2005,2,2.4,Hybrid,Brazil,22339,Black
Volkswagen,Jetta,2014,4,4.0,Gasoline,Japan,46438,Red
Honda,Civic,2008,4,1.0,Hybrid,Mexico,60940,White
Toyota,Prius,2009,2,2.2,Electric,Japan,41637,Black
Chevrolet,Tahoe,2001,4,1.4,Gasoline,Germany,59182,Green
Hyundai,Tucson,2023,4,1.6,Hybrid,India,36152,Blue
Honda,Fit,2015,2,1.4,Electric,USA,26706,Red
Toyota,Prius,2017,4,1.8,Diesel,Japan,63586,Pink
